Angles	physical
Incidence	0	0	0	0	0	0	0	0	30	30	30	30	30	30	30	30	30	60	60	60	60	60	60	60	60
Emergence	20	40	60	70	20	40	60	70	0	20	40	60	70	20	40	60	70	0	20	40	70	20	40	60	70
Azimuth  	0	0	0	0	180	180	180	180	0	0	0	0	0	180	180	180	180	0	0	0	0	180	180	180	180
wavelength_nm	Refl_NH4-Jarosite_i0e20a0	Err_NH4-Jarosite_i0e20a0	Refl_NH4-Jarosite_i0e40a0	Err_NH4-Jarosite_i0e40a0	Refl_NH4-Jarosite_i0e60a0	Err_NH4-Jarosite_i0e60a0	Refl_NH4-Jarosite_i0e70a0	Err_NH4-Jarosite_i0e70a0	Refl_NH4-Jarosite_i0e20a180	Err_NH4-Jarosite_i0e20a180	Refl_NH4-Jarosite_i0e40a180	Err_NH4-Jarosite_i0e40a180	Refl_NH4-Jarosite_i0e60a180	Err_NH4-Jarosite_i0e60a180	Refl_NH4-Jarosite_i0e70a180	Err_NH4-Jarosite_i0e70a180	Refl_NH4-Jarosite_i30e0a0	Err_NH4-Jarosite_i30e0a0	Refl_NH4-Jarosite_i30e20a0	Err_NH4-Jarosite_i30e20a0	Refl_NH4-Jarosite_i30e40a0	Err_NH4-Jarosite_i30e40a0	Refl_NH4-Jarosite_i30e60a0	Err_NH4-Jarosite_i30e60a0	Refl_NH4-Jarosite_i30e70a0	Err_NH4-Jarosite_i30e70a0	Refl_NH4-Jarosite_i30e20a180	Err_NH4-Jarosite_i30e20a180	Refl_NH4-Jarosite_i30e40a180	Err_NH4-Jarosite_i30e40a180	Refl_NH4-Jarosite_i30e60a180	Err_NH4-Jarosite_i30e60a180	Refl_NH4-Jarosite_i30e70a180	Err_NH4-Jarosite_i30e70a180	Refl_NH4-Jarosite_i60e0a0	Err_NH4-Jarosite_i60e0a0	Refl_NH4-Jarosite_i60e20a0	Err_NH4-Jarosite_i60e20a0	Refl_NH4-Jarosite_i60e40a0	Err_NH4-Jarosite_i60e40a0	Refl_NH4-Jarosite_i60e70a0	Err_NH4-Jarosite_i60e70a0	Refl_NH4-Jarosite_i60e20a180	Err_NH4-Jarosite_i60e20a180	Refl_NH4-Jarosite_i60e40a180	Err_NH4-Jarosite_i60e40a180	Refl_NH4-Jarosite_i60e60a180	Err_NH4-Jarosite_i60e60a180	Refl_NH4-Jarosite_i60e70a180	Err_NH4-Jarosite_i60e70a180
600.000000	0.918181	0.000188	0.886914	0.000162	0.850929	0.000193	0.829690	0.000218	0.916109	0.000124	0.876822	0.000130	0.824509	0.000142	0.787696	0.000300	0.900777	0.000215	0.905696	0.000177	0.917231	0.000172	0.834574	0.000154	0.801984	0.000135	0.904539	0.000138	0.921061	0.000152	0.911179	0.000355	0.891609	0.000419	0.839300	0.000143	0.824564	0.000153	0.838266	0.000130	0.905846	0.000243	0.893156	0.000128	1.006323	0.000151	1.215274	0.000197	1.426875	0.000511	
610.000000	0.896588	0.000177	0.866620	0.000136	0.832647	0.000179	0.813593	0.000166	0.894718	0.000210	0.856745	0.000130	0.807249	0.000128	0.771366	0.000361	0.879974	0.000238	0.884817	0.000143	0.897453	0.000130	0.816977	0.000135	0.785581	0.000141	0.883148	0.000135	0.902383	0.000152	0.894593	0.000211	0.874640	0.000345	0.820799	0.000160	0.807411	0.000132	0.823201	0.000098	0.892192	0.000134	0.875662	0.000141	0.989223	0.000156	1.200124	0.000286	1.412459	0.000502	
620.000000	0.870379	0.000172	0.842129	0.000130	0.811215	0.000180	0.792323	0.000168	0.868518	0.000143	0.832622	0.000151	0.785961	0.000165	0.752870	0.000197	0.854971	0.000186	0.859733	0.000158	0.873904	0.000181	0.796456	0.000121	0.766711	0.000171	0.857606	0.000124	0.879039	0.000193	0.873368	0.000151	0.856789	0.000253	0.799655	0.000109	0.786815	0.000126	0.802950	0.000148	0.874155	0.000184	0.853643	0.000150	0.968492	0.000129	1.181300	0.000314	1.394195	0.000474	
630.000000	0.841412	0.000145	0.815411	0.000187	0.786154	0.000166	0.769601	0.000125	0.838956	0.000120	0.805310	0.000106	0.761664	0.000143	0.729703	0.000241	0.826767	0.000201	0.832837	0.000129	0.846966	0.000135	0.773127	0.000124	0.745136	0.000130	0.830668	0.000151	0.852071	0.000130	0.850025	0.000144	0.834933	0.000243	0.776131	0.000186	0.763857	0.000103	0.780972	0.000109	0.854237	0.000160	0.829074	0.000181	0.945707	0.000145	1.159700	0.000247	1.375483	0.000434	
640.000000	0.812027	0.000119	0.788486	0.000097	0.761764	0.000143	0.746634	0.000204	0.809878	0.000122	0.778499	0.000154	0.737588	0.000120	0.708507	0.000223	0.797439	0.000118	0.803984	0.000133	0.819875	0.000173	0.749018	0.000108	0.722407	0.000114	0.802092	0.000101	0.825630	0.000155	0.826324	0.000132	0.813044	0.000205	0.750572	0.000107	0.739468	0.000146	0.758461	0.000099	0.833159	0.000151	0.804247	0.000129	0.921342	0.000142	1.136921	0.000318	1.352903	0.000401	
650.000000	0.783227	0.000161	0.761163	0.000125	0.737147	0.000130	0.724253	0.000151	0.781515	0.000139	0.751469	0.000116	0.714173	0.000122	0.686119	0.000271	0.770163	0.000182	0.777482	0.000118	0.792913	0.000200	0.726189	0.000121	0.701168	0.000106	0.775019	0.000109	0.799995	0.000209	0.803639	0.000167	0.792119	0.000249	0.726858	0.000126	0.716650	0.000118	0.737049	0.000087	0.813601	0.000141	0.780508	0.000122	0.898433	0.000152	1.116024	0.000195	1.332172	0.000409	
660.000000	0.759075	0.000168	0.738491	0.000174	0.716884	0.000125	0.703702	0.000327	0.757399	0.000148	0.729030	0.000134	0.694404	0.000119	0.669191	0.000251	0.746381	0.000136	0.753680	0.000118	0.770628	0.000145	0.707531	0.000109	0.683172	0.000176	0.751905	0.000128	0.778137	0.000155	0.785367	0.000152	0.775347	0.000228	0.706612	0.000116	0.696798	0.000122	0.718348	0.000081	0.797027	0.000155	0.760725	0.000157	0.879631	0.000125	1.099341	0.000230	1.316679	0.000729	
670.000000	0.723376	0.000190	0.704708	0.000129	0.685167	0.000108	0.674830	0.000181	0.721896	0.000139	0.695874	0.000123	0.664421	0.000095	0.640474	0.000161	0.711180	0.000151	0.720011	0.000105	0.737407	0.000126	0.676703	0.000093	0.653741	0.000111	0.717488	0.000083	0.744694	0.000097	0.753233	0.000136	0.745776	0.000288	0.675636	0.000109	0.666647	0.000082	0.688357	0.000088	0.767690	0.000156	0.728356	0.000213	0.847411	0.000173	1.067860	0.000191	1.285058	0.000500	
680.000000	0.718086	0.000185	0.702242	0.000072	0.683575	0.000078	0.665657	0.000101	0.710256	0.000173	0.650469	0.000083	0.655947	0.000078	0.631921	0.000110	0.699232	0.000185	0.707057	0.000182	0.755690	0.000107	0.665540	0.000094	0.632367	0.000077	0.704415	0.000150	0.726554	0.000082	0.744954	0.000106	0.755860	0.000149	0.673383	0.000157	0.656305	0.000134	0.900462	0.000128	0.770997	0.000045	0.712911	0.000175	0.781279	0.000204	0.979421	0.000150	1.233603	0.000182	
690.000000	0.700566	0.000123	0.685588	0.000190	0.668149	0.000085	0.650852	0.000091	0.692508	0.000143	0.635326	0.000191	0.640340	0.000082	0.618356	0.000069	0.682877	0.000060	0.690723	0.000102	0.738324	0.000162	0.652443	0.000069	0.619537	0.000052	0.688842	0.000064	0.712136	0.000213	0.730517	0.000080	0.742655	0.000106	0.658674	0.000079	0.642724	0.000064	0.881345	0.000120	0.759388	0.000074	0.699197	0.000088	0.769492	0.000094	0.969102	0.000133	1.223474	0.000181	
